timestamp,v0,v1,X,Y,Z,result
1,43638.08394,43640.913,-11126.99882,-18678.58275,38040.8932,1
1,43638.11874,43640.93682,-11124.23365,-18678.35343,38041.771,1
1,43638.15154,43640.96373,-11120.25493,-18681.61959,38041.3231,1
1,43638.18148,43640.99367,-11115.2541,-18687.40021,38039.96785,1
1,43638.20908,43641.02541,-11109.47894,-18694.83515,38038.03663,1
1,43638.23556,43641.05714,-11103.24875,-18703.15735,38035.79641,1
1,43638.26198,43641.08744,-11096.96168,-18711.5073,38033.54703,1
1,43638.28877,43641.11572,-11091.06427,-18718.84041,38031.67622,1
1,43638.31579,43641.14252,-11085.97787,-18724.10993,38030.58449,1
1,43638.34284,43641.16911,-11081.99733,-18726.69263,38030.49604,1
1,43638.3701,43641.19691,-11079.20972,-18726.8144,38031.27023,1
1,43638.39823,43641.22692,-11077.47308,-18725.68198,38032.34534,1
1,43638.42801,43641.25933,-11076.4708,-18725.18083,38032.87837,1
1,43638.45963,43641.29362,-11075.82338,-18727.22293,38032.03972,1
1,43638.49255,43641.3286,-11075.21987,-18733.02707,38029.33,1
1,43638.52563,43641.36288,-11074.52104,-18742.66121,38024.77062,1
1,43638.55781,43641.39521,-11073.79747,-18755.05401,38018.88032,1
1,43638.58864,43641.42511,-11073.29679,-18768.44542,38012.45823,1
1,43638.61842,43641.453,-11073.34953,-18781.04624,38006.28496,1
1,43638.64777,43641.48017,-11074.24989,-18791.59765,38000.88493,1
1,43638.67714,43641.50828,-11076.14266,-18799.61497,37996.44551,1
1,43638.70649,43641.53854,-11078.95292,-18805.27807,37992.89573,1
1,43638.7355,43641.57119,-11082.37661,-18809.11673,37990.06575,1
1,43638.76414,43641.60548,-11085.9359,-18811.68282,37987.82977,1
1,43638.79294,43641.63996,-11089.08841,-18813.35242,37986.16709,1
1,43638.82291,43641.67343,-11091.3594,-18814.30461,37985.12861,1
1,43638.85504,43641.70549,-11092.45865,-18814.63577,37984.74408,1
1,43638.88965,43641.73654,-11092.33916,-18814.50799,37984.93322,1
1,43638.92611,43641.7677,-11091.18626,-18814.23351,37985.47213,1
1,43638.96302,43641.79988,-11089.34161,-18814.23739,37986.04176,1
1,43638.99873,43641.83321,-11087.19943,-18814.90907,37986.3363,1
1,43639.03215,43641.86699,-11085.11307,-18816.39476,37986.19449,1
1,43639.06315,43641.90009,-11083.33303,-18818.43801,37985.69187,1
1,43639.09251,43641.93164,-11081.97598,-18820.37077,37985.14625,1
1,43639.12174,43641.96188,-11081.01664,-18821.28492,37985.02679,1
1,43639.15239,43641.99212,-11080.28928,-18820.34121,37985.79522,1
1,43639.18562,43642.02414,-11079.50837,-18817.08615,37987.74303,1
1,43639.2217,43642.05947,-11078.31581,-18811.62935,37990.89573,1
1,43639.25999,43642.09835,-11076.36461,-18804.60999,37995.01446,1
1,43639.29929,43642.13969,-11073.42521,-18796.97221,37999.68473,1
1,43639.33832,43642.18128,-11069.47963,-18789.65425,38004.44857,1
1,43639.37625,43642.2208,-11064.75952,-18783.32901,38008.92171,1
1,43639.41291,43642.25676,-11059.70022,-18778.27579,38012.86379,1
1,43639.44887,43642.28926,-11054.81577,-18774.3954,38016.19748,1
1,43639.48494,43642.31966,-11050.53331,-18771.31814,38018.99406,1
1,43639.52178,43642.35006,-11047.05038,-18768.54221,38021.44129,1
1,43639.55941,43642.38232,-11044.27185,-18765.57026,38023.79586,1
1,43639.59722,43642.4173,-11041.85601,-18762.02149,38026.32303,1
1,43639.63435,43642.45462,-11039.35026,-18757.71757,38029.22461,1
1,43639.67019,43642.49317,-11036.3632,-18752.72834,38032.5753,1
1,43639.70488,43642.53172,-11032.70447,-18747.3638,38036.28822,1
1,43639.73934,43642.56956,-11028.44142,-18742.10071,38040.12907,1
1,43639.77482,43642.60677,-11023.8578,-18737.46312,38043.77773,1
1,43639.81227,43642.64395,-11019.34097,-18733.89487,38046.91352,1
1,43639.85174,43642.68174,-11015.25736,-18731.656,38049.29683,1
1,43639.89229,43642.72018,-11011.86178,-18730.77355,38050.82226,1
1,43639.93241,43642.75858,-11009.27328,-18731.0377,38051.53587,1
1,43639.97084,43642.7957,-11007.50618,-18732.04332,38051.61692,1
1,43640.00723,43642.83033,-11006.52737,-18733.25551,38051.33635,1
1,43640.04229,43642.86205,-11006.29553,-18734.10522,38050.99914,1
1,43640.07746,43642.89171,-11006.7658,-18734.10717,38050.87848,1
1,43640.11397,43642.92146,-11007.86177,-18732.98816,38051.15022,1
1,43640.15212,43642.95408,-11009.44178,-18730.78918,38051.84347,1
1,43640.19108,43642.99188,-11011.28836,-18727.89717,38052.82452,1
1,43640.2293,43643.03561,-11013.13645,-18724.9777,38053.82432,1
1,43640.26548,43643.08384,-11014.73975,-18722.81743,38054.50506,1
1,43640.29941,43643.13314,-11015.94979,-18722.11277,38054.55012,1
1,43640.33227,43643.1795,-11016.77319,-18723.28054,38053.74632,1
1,43640.36605,43643.21995,-11017.38183,-18726.3571,38052.0321,1
1,43640.40262,43643.25385,-11018.06673,-18731.0106,38049.50197,1
1,43640.4427,43643.28315,-11019.14902,-18736.65355,38046.37213,1
1,43640.48542,43643.31152,-11020.87856,-18742.61167,38042.92125,1
1,43640.5287,43643.34254,-11023.35826,-18748.2872,38039.42714,1
1,43640.57036,43643.37836,-11026.52197,-18753.25815,38036.12135,1
1,43640.60905,43643.41896,-11030.17285,-18757.30252,38033.16457,1
1,43640.645,43643.4626,-11034.06216,-18760.36518,38030.64085,1
1,43640.67979,43643.50686,-11037.96681,-18762.50978,38028.56306,1
1,43640.71549,43643.54981,-11041.72895,-18763.89573,38026.87836,1
1,43640.75373,43643.59072,-11045.24552,-18764.78615,38025.4734,1
1,43640.7949,43643.62998,-11048.43032,-18765.55673,38024.1851,1
1,43640.83813,43643.66837,-11051.18413,-18766.66998,38022.82318,1
1,43640.88178,43643.7066,-11053.40264,-18768.577,38021.21289,1
1,43640.92414,43643.74509,-11055.01928,-18771.56547,38019.25195,1
1,43640.96418,43643.78387,-11056.05424,-18775.62101,38016.95769,1
1,43641.00196,43643.82285,-11056.62519,-18780.38897,38014.47723,1
1,43641.03852,43643.86214,-11056.90351,-18785.29542,38012.03808,1
1,43641.07538,43643.90206,-11057.03357,-18789.799,38009.84976,1
1,43641.11392,43643.94292,-11057.06487,-18793.65765,38007.99824,1
1,43641.15484,43643.9849,-11056.93596,-18797.06865,38006.38838,1
1,43641.19783,43644.02768,-11056.52356,-18800.6055,38004.76636,1
1,43641.24176,43644.07056,-11055.72939,-18804.95991,38002.82306,1
1,43641.28519,43644.11258,-11054.55492,-18810.6098,38000.33419,1
1,43641.32699,43644.15301,-11053.12034,-18817.56377,37997.27759,1
1,43641.36682,43644.19153,-11051.62472,-18825.29514,37993.87316,1
1,43641.40514,43644.22857,-11050.26932,-18832.88891,37990.52947,1
1,43641.44305,43644.26529,-11049.19622,-18839.33214,37987.7147,1
1,43641.48177,43644.30307,-11048.46781,-18843.83838,37985.79868,1
1,43641.52223,43644.34298,-11048.09344,-18846.08684,37984.92461,1
1,43641.56478,43644.38525,-11048.07145,-18846.30665,37984.95679,1
1,43641.60903,43644.42906,-11048.41661,-18845.17201,37985.53101,1
1,43641.65388,43644.47281,-11049.15111,-18843.55014,37986.19197,1
1,43641.69785,43644.51474,-11050.27446,-18842.1944,37986.56405,1
1,43641.73966,43644.55387,-11051.73524,-18841.49032,37986.48823,1
1,43641.77881,43644.59049,-11053.43095,-18841.348,37986.06884,1
1,43641.81605,43644.62601,-11055.24116,-18841.28436,37985.60927,1
1,43641.8532,43644.66253,-11057.07645,-18840.64428,37985.47451,1
1,43641.89236,43644.70191,-11058.90937,-18838.86144,37985.9457,1
1,43641.93493,43644.74493,-11060.76549,-18835.64923,37987.13194,1
1,43641.98103,43644.79117,-11062.68108,-18831.05395,37988.96862,1
1,43642.02932,43644.83916,-11064.65105,-18825.39747,37991.27496,1
1,43642.07764,43644.88715,-11066.59949,-18819.17325,37993.82359,1
1,43642.12396,43644.93398,-11068.39579,-18812.94522,37996.38625,1
1,43642.16728,43644.97919,-11069.91183,-18807.26829,37998.75052,1
1,43642.20786,43645.02293,-11071.09319,-18802.615,38000.72495,1
1,43642.24695,43645.0657,-11072.00451,-18799.29787,38002.15396,1
1,43642.28623,43645.10794,-11072.82633,-18797.40179,38002.94713,1
1,43642.32705,43645.14986,-11073.7986,-18796.76968,38003.10214,1
1,43642.3701,43645.19157,-11075.13628,-18797.06769,38002.70136,1
1,43642.41534,43645.23335,-11076.95284,-18797.907,38001.88006,1
1,43642.46207,43645.2755,-11079.22247,-18798.97556,38000.77881,1
1,43642.50945,43645.31843,-11081.7914,-18800.10505,37999.51256,1
1,43642.55669,43645.36242,-11084.42487,-18801.25257,37998.16992,1
1,43642.60323,43645.40737,-11086.87098,-18802.42284,37996.83397,1
1,43642.64891,43645.45294,-11088.9159,-18803.58692,37995.60442,1
1,43642.69391,43645.49877,-11090.42331,-18804.6545,37994.59338,1
1,43642.73873,43645.54473,-11091.35643,-18805.51041,37993.89251,1
1,43642.784,43645.59115,-11091.78741,-18806.07379,37993.53353,1
1,43642.83028,43645.63869,-11091.88764,-18806.32582,37993.47172,1
1,43642.87779,43645.68788,-11091.88939,-18806.29799,37993.60383,1
1,43642.92625,43645.73867,-11092.02262,-18806.02357,37993.8177,1
1,43642.97501,43645.79021,-11092.44376,-18805.49797,37994.04363,1
