timestamp,v0,v1,X,Y,Z,result
1,43648.37951,43647.37233,-39360.38023,-18988.81524,3582.283686,normal
1,43648.43937,43647.43414,-39359.7814,-18995.10029,3556.355975,normal
1,43648.50016,43647.49585,-39359.81523,-18999.97417,3530.945589,normal
1,43648.56226,43647.55737,-39360.48214,-19003.17686,3507.440188,normal
1,43648.62557,43647.61904,-39361.69439,-19004.52543,3487.812782,normal
1,43648.68971,43647.68147,-39363.2383,-19004.09054,3474.070973,normal
1,43648.75425,43647.74532,-39364.79432,-19002.27934,3467.568816,normal
1,43648.81884,43647.81088,-39366.03764,-18999.73286,3468.452959,normal
1,43648.88331,43647.87801,-39366.79217,-18997.04751,3475.475266,normal
1,43648.94757,43647.94619,-39367.16549,-18994.45526,3486.237396,normal
1,43649.01161,43648.01464,-39367.58543,-18991.64484,3497.746883,normal
1,43649.07549,43648.08246,-39368.69681,-18987.83413,3507.137515,normal
1,43649.13947,43648.14908,-39371.13496,-18982.10602,3512.307527,normal
1,43649.20399,43648.21422,-39375.26708,-18973.87174,3512.254832,normal
1,43649.26953,43648.27785,-39381.01568,-18963.24116,3507.056332,normal
1,43649.33635,43648.34011,-39387.8462,-18951.11824,3497.557972,normal
1,43649.40422,43648.40122,-39394.92301,-18938.96925,3484.980612,normal
1,43649.47242,43648.46134,-39401.35921,-18928.37389,3470.633592,normal
1,43649.53994,43648.52069,-39406.44362,-18920.58746,3455.762992,normal
1,43649.60587,43648.57966,-39409.75329,-18916.31338,3441.477428,normal
1,43649.6699,43648.63899,-39411.1428,-18915.72385,3428.676914,normal
1,43649.73259,43648.69975,-39410.65638,-18918.65864,3417.902529,normal
1,43649.7952,43648.76318,-39408.45168,-18924.80313,3409.198873,normal
1,43649.85924,43648.83041,-39404.77691,-18933.73839,3402.110706,normal
1,43649.92573,43648.9019,-39399.9919,-18944.86281,3395.884219,normal
1,43649.99469,43648.97691,-39394.57337,-18957.32628,3389.761555,normal
1,43650.06504,43649.05361,-39389.05814,-18970.10407,3383.191716,normal
1,43650.13505,43649.12943,-39383.91814,-18982.25129,3375.834725,normal
1,43650.20309,43649.20181,-39379.43016,-18993.2084,3367.390206,normal
1,43650.26845,43649.26911,-39375.61358,-19002.97481,3357.418457,normal
1,43650.33159,43649.33121,-39372.28353,-19012.01356,3345.362739,normal
1,43650.39382,43649.38961,-39369.19321,-19020.90713,3330.877653,normal
1,43650.45657,43649.44682,-39366.19004,-19029.94895,3314.297093,normal
1,43650.52064,43649.50522,-39363.30031,-19038.90279,3296.919406,normal
1,43650.58588,43649.56632,-39360.6953,-19047.08494,3280.822154,normal
1,43650.65141,43649.63018,-39358.56344,-19053.73502,3268.183413,normal
1,43650.71622,43649.69575,-39356.96353,-19058.4768,3260.378583,normal
1,43650.77981,43649.76169,-39355.74267,-19061.61883,3257.286321,normal
